XML Node Name,ClickForms Cell #,ClickForms Page #,Cell Type,WinTotal Field #
SOURCES_MLS,90,1,,94
SOURCES_ASSESS,91,1,,95
PRIORINSPECTN,92,1,,96
PROPOWNERINSP,93,1,,97
OTHERSRC,94,1,,98
OTHERSRC_TXT,95,1,,99
GDSNUMSTORIES,96,1,,100
GDS_ATTDET,97,1,,101
EXTEXTWALLS,98,1,,102
EXTRFSURFACE,99,1,,103
MANFACTHS_YES,100,1,,104
MANFACTHS_NO,101,1,,105
CONFORMSTYLE_YS,102,1,,106
CONFORMSTYLE_NO,103,1,,107
PHYSICALDEF_YES,104,1,,108
PHYSICALDEF_NO,105,1,,109
ADVENVCOND_YES,107,1,,110
ADVENVCOND_NO,108,1,,111
TOTAL_SALES,110,1,,112
SALES_HIGH,111,1,,113
SALES_LOW,112,1,,114
TOTAL_LISTING,113,1,,115
LISTING_HIGH,114,1,,116
LISTING_LOW,115,1,,117
GSU_AD_ADDR1,116,1,,118
GSU_AD_ADDR2,117,1,,119
GSU_PR_SALEPR1,118,1,,120
GSU_PU_PERGLA,119,1,,121
GSU_SC_SOURCE1,,1,,122
GSU_FN_CONC1,,1,,123
GSU_FN_CONC2,,1,,124
GSU_DT_SALTIM1,,1,,125
GSU_LC_LOCAT1,120,1,,126
GSU_ST_SITSIZE,121,1,,127
GSU_ST_SITEVW,122,1,,128
GSU_DA_DESAPL1,123,1,,129
GSU_AG_AGYRBLT,124,1,,130
GSU_AG_COND1,125,1,,131
GSU_RM_TOTAL,126,1,,132
GSU_RM_BED,127,1,,133
GSU_RM_BATH,128,1,,134
GSU_SF_GLA,129,1,,135
GSU_PU_PERSF,,1,,136
GSU_BM_BSM1,130,1,,137
GSU_BM_BSM2,131,1,,138
GSU_CR_GARPRK1,132,1,,139
GSU_CM_OTHR1_TEXT,133,1,,140
GSU_BL_BLANK1,134,1,,141
GSU_CM_OTHR2_TEXT,135,1,,142
GSU_BL_BLANK2,136,1,,143
GSU_HS_PRIOR1,137,1,,144
GSU_HS_PRIOR2,138,1,,145
GC1_AD_ADDR1,139,1,,146
GC1_AD_ADDR2,140,1,,147
GC1_PROX1,141,1,,148
GC1_PR_SALEPR1,142,1,,149
GC1_PU_PERGLA,143,1,,150
GC1_SC_SOURCE1,144,1,,151
GC1_FN_CONC1,145,1,,152
GC1_FN_CONC1_ADJ,146,1,,153
GC1_FN_CONC2,147,1,,154
GC1_FN_CONC2_ADJ,148,1,,155
GC1_DT_SALTIM1,149,1,,156
GC1_DT_SALTIM1_ADJ,150,1,,157
GC1_LC_LOCAT1,151,1,,158
GC1_LC_LOCAT1_ADJ,152,1,,159
GC1_ST_SITSIZE,153,1,,160
GC1_ST_SITSIZE_ADJ,154,1,,161
GC1_ST_SITEVW,155,1,,162
GC1_ST_SITEVW_ADJ,156,1,,163
GC1_DA_DESAPL1,157,1,,164
GC1_DA_DESAPL1_ADJ,158,1,,165
GC1_AG_AGYRBLT,159,1,,166
GC1_AG_AGYRBLT_ADJ,160,1,,167
GC1_AG_COND1,161,1,,168
GC1_AG_COND1_ADJ,162,1,,169
GC1_RM_BED_ADJ,,1,,170
GC1_RM_TOTAL,164,1,,171
GC1_RM_BED,165,1,,172
GC1_RM_BATH,166,1,,173
GC1_RM_TOTAL_ADJ,167,1,,174
GC1_SF_GLA,168,1,,175
GC1_SF_GLA_ADJ,169,1,,176
CF_C1_ADJ_$SF,,1,,177
GC1_BM_BSM1,170,1,,178
GC1_BM_BSM1_ADJ,171,1,,179
GC1_BM_BSM2,172,1,,180
GC1_BM_BSM2_ADJ,173,1,,181
GC1_CR_GARPRK1,174,1,,182
GC1_CR_GARPRK1_ADJ,175,1,,183
GC1_BL_BLANK1,176,1,,184
GC1_BL_BLANK1_ADJ,177,1,,185
GC1_BL_BLANK2,178,1,,186
GC1_BL_BLANK2_ADJ,179,1,,187
GC1_NETADJ_ADJ,182,1,,188
GC1_CHECKPOS_ADJ,180,1,,189
GC1_CHECKNEG_ADJ,181,1,,190
GC1_NET_TEXT1,,1,,191
GC1_NET_TEXT2,,1,,192
GC1_NETADJPCT_ADJ,,1,,193
GC1_GRS_TEXT1,,1,,194
GC1_GRS_TEXT2,,1,,195
GC1_GRSADJPCT_ADJ,,1,,196
GC1_ADJSALEPRC_ADJ,183,1,,197
GC1_HS_PRIOR1,184,1,,198
GC1_HS_PRIOR2,185,1,,199
GC2_AD_ADDR1,186,1,,200
GC2_AD_ADDR2,187,1,,201
GC2_PROX1,188,1,,202
GC2_PR_SALEPR1,189,1,,203
GC2_PU_PERGLA,190,1,,204
GC2_SC_SOURCE1,191,1,,205
GC2_FN_CONC1,192,1,,206
GC2_FN_CONC1_ADJ,193,1,,207
GC2_FN_CONC2,194,1,,208
GC2_FN_CONC2_ADJ,195,1,,209
GC2_DT_SALTIM1,196,1,,210
GC2_DT_SALTIM1_ADJ,197,1,,211
GC2_LC_LOCAT1,198,1,,212
GC2_LC_LOCAT1_ADJ,199,1,,213
GC2_ST_SITSIZE,200,1,,214
GC2_ST_SITSIZE_ADJ,201,1,,215
GC2_ST_SITEVW,202,1,,216
GC2_ST_SITEVW_ADJ,203,1,,217
GC2_DA_DESAPL1,204,1,,218
GC2_DA_DESAPL1_ADJ,205,1,,219
GC2_AG_AGYRBLT,206,1,,220
GC2_AG_AGYRBLT_ADJ,207,1,,221
GC2_AG_COND1,208,1,,222
GC2_AG_COND1_ADJ,209,1,,223
GC2_RM_BED_ADJ,,1,,224
GC2_RM_TOTAL,211,1,,225
GC2_RM_BED,212,1,,226
GC2_RM_BATH,213,1,,227
GC2_RM_TOTAL_ADJ,214,1,,228
GC2_SF_GLA,215,1,,229
GC2_SF_GLA_ADJ,216,1,,230
CF_C2_ADJ_$SF,,1,,231
GC2_BM_BSM1,217,1,,232
GC2_BM_BSM1_ADJ,218,1,,233
GC2_BM_BSM2,219,1,,234
GC2_BM_BSM2_ADJ,220,1,,235
GC2_CR_GARPRK1,221,1,,236
GC2_CR_GARPRK1_ADJ,222,1,,237
GC2_BL_BLANK1,223,1,,238
GC2_BL_BLANK1_ADJ,224,1,,239
GC2_BL_BLANK2,225,1,,240
GC2_BL_BLANK2_ADJ,226,1,,241
GC2_NETADJ_ADJ,229,1,,242
GC2_CHECKPOS_ADJ,227,1,,243
GC2_CHECKNEG_ADJ,228,1,,244
GC2_NET_TEXT1,,1,,245
GC2_NET_TEXT2,,1,,246
GC2_NETADJPCT_ADJ,,1,,247
GC2_GRS_TEXT1,,1,,248
GC2_GRS_TEXT2,,1,,249
GC2_GRSADJPCT_ADJ,,1,,250
GC2_ADJSALEPRC_ADJ,230,1,,251
GC2_HS_PRIOR1,231,1,,252
GC2_HS_PRIOR2,232,1,,253
GC3_AD_ADDR1,233,1,,254
GC3_AD_ADDR2,234,1,,255
GC3_PROX1,235,1,,256
GC3_PR_SALEPR1,236,1,,257
GC3_PU_PERGLA,237,1,,258
GC3_SC_SOURCE1,238,1,,259
GC3_FN_CONC1,239,1,,260
GC3_FN_CONC1_ADJ,240,1,,261
GC3_FN_CONC2,241,1,,262
GC3_FN_CONC2_ADJ,242,1,,263
GC3_DT_SALTIM1,243,1,,264
GC3_DT_SALTIM1_ADJ,244,1,,265
GC3_LC_LOCAT1,245,1,,266
GC3_LC_LOCAT1_ADJ,246,1,,267
GC3_ST_SITSIZE,247,1,,268
GC3_ST_SITSIZE_ADJ,248,1,,269
GC3_ST_SITEVW,249,1,,270
GC3_ST_SITEVW_ADJ,250,1,,271
GC3_DA_DESAPL1,251,1,,272
GC3_DA_DESAPL1_ADJ,252,1,,273
GC3_AG_AGYRBLT,253,1,,274
GC3_AG_AGYRBLT_ADJ,254,1,,275
GC3_AG_COND1,255,1,,276
GC3_AG_COND1_ADJ,256,1,,277
GC3_RM_BED_ADJ,,1,,278
GC3_RM_TOTAL,258,1,,279
GC3_RM_BED,259,1,,280
GC3_RM_BATH,260,1,,281
GC3_RM_TOTAL_ADJ,261,1,,282
GC3_SF_GLA,262,1,,283
GC3_SF_GLA_ADJ,263,1,,284
CF_C3_ADJ_$SF,,1,,285
GC3_BM_BSM1,264,1,,286
GC3_BM_BSM1_ADJ,265,1,,287
GC3_BM_BSM2,266,1,,288
GC3_BM_BSM2_ADJ,267,1,,289
GC3_CR_GARPRK1,268,1,,290
GC3_CR_GARPRK1_ADJ,269,1,,291
GC3_BL_BLANK1,270,1,,292
GC3_BL_BLANK1_ADJ,271,1,,293
GC3_BL_BLANK2,272,1,,294
GC3_BL_BLANK2_ADJ,273,1,,295
GC3_NETADJ_ADJ,276,1,,296
GC3_CHECKPOS_ADJ,274,1,,297
GC3_CHECKNEG_ADJ,275,1,,298
GC3_NET_TEXT1,,1,,299
GC3_NET_TEXT2,,1,,300
GC3_NETADJPCT_ADJ,,1,,301
GC3_GRS_TEXT1,,1,,302
GC3_GRS_TEXT2,,1,,303
GC3_GRSADJPCT_ADJ,,1,,304
GC3_ADJSALEPRC_ADJ,277,1,,305
GC3_HS_PRIOR1,278,1,,306
GC3_HS_PRIOR2,279,1,,307
SCMANALYSIS_1,280,1,,308
SCMANALYSIS_2,,1,,309
SCMCOMMENTS_1,281,1,,310
SCMCOMMENTS_2,,1,,311
SCMCOMMENTS_3,,1,,312
SCMCOMMENTS_4,,1,,313
SCMCOMMENTS_5,,1,,314
SCMCOMMENTS_6,,1,,315
SCMCOMMENTS_7,,1,,316
RECAPPR_ASIS,282,1,,317
RECAPPR_PLANS,283,1,,318
RECAPPR_REPAIRS,284,1,,319
RECCONDITIONS_1,285,1,,320
BO_EXTINSPECT,286,1,,321
BO_INTINSPECT,287,1,,322
RECESTMKTVALUE,288,1,,323
RECINSPECTDATE,289,1,,324
FOOTER2,,1,,325
FLD322,,1,,326
FLD323,,1,,327
PUDHOA_YES,4,2,,328
PUDHOA_NO,5,2,,329
PUDTOTALPHASES,6,2,,330
PUDTOTALUNITS,7,2,,331
PUDTOTALUNITSSOLD,8,2,,332
PUDTOTALUNITSRENT,9,2,,333
PUDUNITSFORSALE,10,2,,334
PUDRNTDATASRC,11,2,,335
PUDEXTBLDG_YES,12,2,,336
PUDEXTBLDG_NO,13,2,,337
PUDCONVRSN_DT,14,2,,338
PUDMUTIDWLNG_YES,15,2,,339
PUDMUTIDWLNG_NO,16,2,,340
PUDMUTIDWLING_SRC,17,2,,341
PUDCOMELEMNT_YES,18,2,,342
PUDCOMELEMNT_NO,19,2,,343
PUDSTAT_COMPLTN,20,2,,344
PUDSTAT_COMPLTN2,,2,,345
PUDELEMNTLEASTYES,21,2,,346
PUDELEMNTLEASTNO,22,2,,347
PUDCOMELEMENTS,23,2,,348
PUDCOMELEMENTS2,,2,,349
CONHOACONTRL_YES,24,2,,350
CONHOACONTRL_NO,25,2,,351
CONNUM_PHASES,26,2,,352
CONNUM_UNITS,27,2,,353
CONUNITS_SOLD,28,2,,354
CONNUMUNITS_RNT,29,2,,355
CONNUMUNITS_4SALE,30,2,,356
CONDATASRC,31,2,,357
CONEXTBLDG_YES,32,2,,358
CONEXTBLDG_NO,33,2,,359
CONDOCONVRSN_DT,34,2,,360
PT_PRIMARYRES,35,2,,361
PT_SECHOME,36,2,,362
PT_ROW_TWNHS,37,2,,363
PT_GARDEN,38,2,,364
PT_MIDRISE,39,2,,365
PT_HIGHRISE,40,2,,366
PT_OTHER,41,2,,367
PT_OTHER_TXT,42,2,,368
CON_CONDITN_PROJ,43,2,,369
CON_CONDITN_PROJ2,,2,,370
CON_COMELE_YES,44,2,,371
CON_COMELE_NO,45,2,,372
CON_COMELE_TXT,46,2,,373
CON_COMELE_TXT2,,2,,374
CON_HOA_YES,47,2,,375
CON_HOA_NO,48,2,,376
CON_CONELE_NOTES,49,2,,377
CON_CONELE_NOTES2,,2,,378
FOOTER3,,2,,379
SIGNATURE,,3,,380
SIGNATUREB,,3,,381
FLD375,,3,,382
FLD376,,3,,383
RECAPPRID_TEXT,,3,,384
RECAPPRSIG_TEXT,,3,,385
SUBAPPRAISER,4,3,,386
RECAPPRCOMPANYNAME,5,3,,387
RECAPPRCMPADDRESS1,6,3,,388
RECAPPRCMPADDRESS2,7,3,,389
RECAPPRSIGNDATE,8,3,,390
RECAPPRCERT,9,3,,391
RECAPPRLIC,10,3,,392
RECAPPRCERTLICST,11,3,,393
RECAPPCERTLICEXPDAT,12,3,,394
REC_SUBPROPADDR1,13,3,,395
REC_SUBPROPADDR2,14,3,,396
REC_PROP_VALUE,15,3,,397
REC_EFFECT_DT,16,3,,398
SUBLCCMPNAME,,3,,399
SUBLENCLIENTNAME,17,3,,400
SUBLENCLIENT,18,3,,401
SUBLCADDRESS,19,3,,402
RECSUPID_TEXT,,3,,403
RECSUPSIG_TEXT,,3,,404
RECSUPNAME,21,3,,405
RECSUPCOMPANYNAME,22,3,,406
RECSUPCMPADDRESS1,23,3,,407
RECSUPCMPADDRESS2,24,3,,408
RECSUPSIGNDATE,25,3,,409
RECSUPCERT,26,3,,410
RECSUPLIC,27,3,,411
RECSUPCERTLICST,28,3,,412
RECSUPCERTLICEXPDAT,29,3,,413
RECSUPINSP_DIDNOT,30,3,,414
RECSUPINS_EXT,31,3,,415
RECSUPINS_EXTINT,32,3,,416
SUPINS_COMP_NO,33,3,,417
SUPINS_COMP_YES,34,3,,418
_I4,,3,,419
_I5,,3,,420
_I6,,3,,421
SITVIEW,,3,,422
GDSDESIGN,,3,,423
CONDITION,,3,,424
RMSAGTOTROOMS,,3,,425
RMSAGTOTBEDROOMS,,3,,426
RMSAGTOTBATHS,,3,,427
RMSAGSQFTGLA,,3,,428
