Frmid	Clickforms Name	Air	Lh	Lh Alternate	AI Alternate
348	1075 3-2005	1	1		
349	1025 3-2005	1	1		
350	1025 3-2005	1	1		
351	2090 3-2005	1	1		
352	2090 3-2005	1	1		
353	2095 3-2005	1	1		
354	2095 3-2005	1	1		
355	2055 3-2005	1	1		
356	2055 3-2005	1	1		
357	2000 3-2005	1	1		
358	2000 3-2005	1	1		
360	2000A 3-2005	1	1		
361	2000A 3-2005	1	1		
362	1025_05 XRentals	1	1		
363	1004/2055_05 XComps	1	1		
364	1025/2000A_05 XComps	1	1		
365	1004C_05 XComps	1	1		
366	2090/2095_05 XComps	1	1		
367	1073/1075_05 XComps	1	1		
369	Condominium Project Addendum	1	0		
370	AI Residential Summary Appraisal	1	0		
371	AI Residential Summary Appraisal	1	0		
372	AI Residential Summary Appraisal	1	0		
373	AI Residential Summary Appraisal	1	0		
374	AI Residential Summary Appraisal	1	0		
376	AI Residential Summary Appraisal	1	0		
377	AI Residential Summary Appraisal	1	0		
378	AI Residential Summary Appraisal	1	0		
379	AI Residential Summary Appraisal	1	0		
380	AI Residential Summary Appraisal	1	0		
391	AI Residential Summary XComps	1	0		
392	AI Residential Summary XRentals	1	0		
393	AI Residential Summary XSites	1	0		
415	HUD 92564-VC '03	1	1		
416	HUD 92564-HS '03	1	1		
417	HUD 92564-CN '03	0	0		
418	Comprehensive Valuation Package '03	0	0		
450	HUD Compliance Inspection	1	1		
465	HUD 92564-VC '99	1	0		
467	HUD 92564-CN '04	1	1		
471	HUD 92564-CN 12/04	1	0		
530	Manufactured Housing Inspection	1	0		
555	Environmental Compliance Record	1	0		
556	Environmental Addendum	1	0		
593	Appraiser License Certificate (Small)	0	0		
594	Appraiser License Certificate (Big)	0	0		
595	Exhibit Legal	1	1		
596	Exhibit Letter	1	1		
597	Exhibit No Header Legal	0	1		
598	Exhibit No Header Letter	0	1		
611	Pre-Foreclosure Addendum	1	1		
619	Disaster Inspection Report	1	0		
627	Rels Desk Enhanced Review	0	1		
652	Earthquake Addendum	1	0		
656	Multi Purpose Supplemental Addendum	0	0		
658	FIRREA Certification	0	0		
659	FEMA Flood 6-95	0	0		
664	Fha Sq Ft Appraisal	0	1		
677	Summary Of Salient Features	1	0		
683	Supplemental Reo	1	1		
694	Exhibit Full Page Legal	0	1		
695	Exhibit Full Page Letter	0	1		
696	FEMA Flood 10-02	1	0		
703	USPAP Certification 2003	0	0		
705	Dimension List Addendum	1	0		
719	Homefocus Desktop Valuation	1	1		
720	FEMA Flood	1	0		
722	Appraisal Identification '06	1	0		
730	Listings Comparison Analysis #1	0	0		
732	Homefocus Desktop XComps	0	0		
733	Listings Comparison Analysis #2	1	1		
749	Homefocus Desktop Valuation 	1	1		
751	Desktop Valuation	0	1		
770	Land Certification	0	0		
774	Market Conditions Summary	1	1		
775	Completion Certificate W/Rov	1	0		
776	Multi Purpose Supplemental Addendum #2	1	1		
777	Completioin Certificate #2	1	0		
778	FIRREA Certification	1	0		
779	GP Desk Review	1	0		
780	Appraiser Disclosure Statement	1	0		
782	USPAP Compliance 2001	1	0		
783	WFTR	1	0		
784	WLTR	1	0		
785	GP Limiting Conditions A	1	0		
786	GP Limiting Conditions B	1	0		
787	GP 2000	1	0		
794	Supplimental REO 2008	1	1		
826	Market Conditions Summary	1	1		
828	Review Certification	1	0		
835	1004Mc	1	1		
850	1004Mc	1	1		
858	FEMA Flood 12-08	1	1		
867	Tsi Restricted	1	0		
869	1025 Listings	0	1		
888	1073 XListings	0	1		
889	Rels Land	1	0
919	Subject Interior Photos	0	0		
928	Blank Comment Addendum Letter	0	0		
936	Untitled Subject Photos	0	0		
954	Wellsfargo Rvs Desktop	1	0		
968	High Dollar Addendum 2011	0	0		
965	UAD Definitions	1	0		
972	UAD Comments Addendum	1	0		
987	Property Permit	1	0		
3545	1004/2000/2055_05 XComps	1	1		
4003	USPAP 2012	1	0		
4011	SWFDESKTOP	1	0		
4012	FEMA Flood 2012	1	1		
4013	UAD Definitions	1	0		
4014	Wellsfargo Review	1	0		
4022	Wellsfargo Single Family Comps	1	0
4031	CHASEDESKTOP	1	0
4035	WFRVSDESKTOP	1	0
4041	WFRVSREVSF	1	0
4042	WFRVSREVMH	1	0
4043	WFRVSREVCN	1	0
4044	WFRVSREV24	1	0
4045	WFRVSREVLA	1	0
4046	WFRVSREVCP	1	0
4027	Wellsfargo MultiFamily Comps	1	0
4023	Wellsfargo ManuHome Comps	1	0
4024	Wellsfargo Condo Comps	1	0
4026	Wellsfargo Coop Comps	1	0
4025	Wellsfargo Land Comps	1	0
4028	Rels Land XComps	1	0
4048	USPAP 2014	1	0
4086	AI Ready Invoice	1	0
4091	DSAR XComps	0	0
4099	ProTeck Desktop Restricted	1	0		
4112	Wellsfargo Additional Data	1	0
4113	CoreLogic Ext Disaster Inspection	1	0
4114	CoreLogic Int Disaster Inspection	1	0
4147	Resedential Appraisal Review	1	0
4150	2000 XComps	1	0
4211	DSAR	1	0
4261	SOLIDIDT_4_2008	1	0
4264	ProTeck Restricted HELOC	1	0
4265	ProTeck Appraisal HELOC	1	0
