2	File_Number		FILENUM	\
82	MCH	NO	VALUE	\SITE\UTILITIESOFFSIGHT
83				\SITE\UTILITIESOFFSIGHT\DESCRIPTION
84	MCH	YES	VALUE	\SITE\APPARENTCONDITIONS
85	MCH	NO	VALUE	\SITE\APPARENTCONDITIONS
86				\SITE\APPARENTCONDITIONS\DESCRIPTION
87	MCH	ON		\IMPROVEMENTS\SRCSUSED\EXTERIORINSPECT
88	MCH	ON		\IMPROVEMENTS\SRCSUSED\PREVIOUSAPPREPORT
89	MCH	ON		\IMPROVEMENTS\SRCSUSED\ASSMENTTAXRECORDS
90	MCH	ON		\IMPROVEMENTS\SRCSUSED\MLS
91	MCH	ON		\IMPROVEMENTS\SRCSUSED\PRIORINSPECT
92	MCH	ON		\IMPROVEMENTS\SRCSUSED\PROPOWNER
93	MCH	ON	VALUE	\IMPROVEMENTS\SRCSUSED\OTHER
94				\IMPROVEMENTS\SRCSUSED\OTHER\DESCRIPTION
95				\IMPROVEMENTS\GENERAL\STORIES\NUM
96				\IMPROVEMENTS\GENERAL\TYPE
98				\IMPROVEMENTS\GENERAL\AGEYRS
97				\IMPROVEMENTS\EXTERIOR\WALLS
99	MCH	YES		\IMPROVEMENTS\EXTERIOR\MANUFACTUREDHOUSE
100	MCH	NO		\IMPROVEMENTS\EXTERIOR\MANUFACTUREDHOUSE
101	MCH	YES	VALUE	\IMPROVEMENTS\PROPCONFORMNBRHOOD
102	MCH	NO	VALUE	\IMPROVEMENTS\PROPCONFORMNBRHOOD
103				\IMPROVEMENTS\PROPCONFORMNBRHOOD\DESCRIPTION
104	MCH	YES	VALUE	\IMPROVEMENTS\PHYSICALDEFICIENCIES
105	MCH	NO	VALUE	\IMPROVEMENTS\PHYSICALDEFICIENCIES
106				\IMPROVEMENTS\PHYSICALDEFICIENCIES\DESCRIPTION
107	MCH	YES	VALUE	\COMMENT\ADVERSECONDITIONS
108	MCH	NO	VALUE	\COMMENT\ADVERSECONDITIONS
109				\COMMENT\ADVERSECONDITIONS
110				\APPRAISER\NAME
111				\APPRAISER\COMPANY\NAME
112				\APPRAISER\ADDR\STREET
113	CITYSTATEZIP	CITY		\APPRAISER\ADDR\CITY
113	CITYSTATEZIP	STATE		\APPRAISER\ADDR\STATEPROV
113	CITYSTATEZIP	ZIP		\APPRAISER\ADDR\ZIP
114				\APPRAISER\SIGNED\DATE
115				\APPRAISER\STATECERT\NUM
0				\APPRAISER\STATECERT\STATEPROV
116				\APPRAISER\STATELIC\NUM
117				\APPRAISER\STATELIC\STATEPROV
118				\APPRAISER\LICCERTEXP\DATE
119				\SUPAPPRAISER\NAME
120				\SUPAPPRAISER\COMPANY\NAME
121				\SUPAPPRAISER\ADDR\STREET
122	CITYSTATEZIP	CITY		\SUPAPPRAISER\ADDR\CITY
122	CITYSTATEZIP	STATE		\SUPAPPRAISER\ADDR\STATEPROV
122	CITYSTATEZIP	ZIP		\SUPAPPRAISER\ADDR\ZIP
123				\SUPAPPRAISER\SIGNED\DATE
124				\SUPAPPRAISER\STATECERT\NUM
0				\SUPAPPRAISER\STATECERT\STATEPROV
125				\SUPAPPRAISER\STATELIC\NUM
126				\SUPAPPRAISER\STATELIC\STATEPROV
127				\SUPAPPRAISER\LICCERTEXP\DATE
128	MCH	DID		\SUPAPPRAISER\INSPECTION\SUBJECTPROP
129	MCH	DIDNOT		\SUPAPPRAISER\INSPECTION\SUBJECTPROP
	Formnum		FORMNUM	\
	Vendor		VENDOR	\
	Version		VERSION	\
	DocID		DOCID	\
	Signature	APPRAISERSIGNATURE	Appraiser	
	Signature	SUPAPPRAISERSIGNATURE	Supervisor	
